storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,0.1,0.6000000000000001,Why,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,2.7,2.8,and,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,2.8,3.0,don't,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,3.0,3.2,tell,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,3.2,3.3,me,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,3.3,3.3,you,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,3.3,3.6,lost,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,3.6,3.7,your,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,3.7,4.0,voice,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,4.0,4.1,to,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,4.1,4.3,have,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,4.3,4.4,you,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,4.4,4.6,seen,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,4.6,4.8,five,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,4.8,5.1,minutes,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,5.1,5.3,ago,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,5.3,6.2,"tonight,",1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,6.9,7.1,but,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,7.1,7.4,couldn't,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,7.4,7.5,you,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,7.5,8.0,like,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,8.2,8.5,send,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,8.5,8.7,your,1
bGYdMPhyYdc,0,"Why and don't tell me you lost your voice to have you seen five minutes ago tonight, but couldn't you like send your answers?",0.8890975713729858,8.7,9.2,answers?,1
bGYdMPhyYdc,0, I just don't understand why you won't speak.,0.8987181782722473,20.9,21.0,I,2
