storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,1.2,1.5,I'm,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,1.5,1.8,Amy,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,1.8,2.3,Chua.,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,2.3,2.5,I'm,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,2.5,2.5,a,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,2.5,3.0,professor,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,3.0,3.2,at,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,3.2,3.4,Yale,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,3.4,3.6,law,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,3.6,4.2,school,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,4.2,4.7,and,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,4.7,4.8,you,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,4.8,5.0,might,1
gt7q9MLwiuo,0,"I'm Amy Chua. I'm a professor at Yale law school and you might know me from my Memoir Battle Hymn of the tiger mother which caused a bit of a fuss some years ago. I'm focusing now not so much on Early Childhood issues, but kind of what young adults need to succeed in the workplace these days here are my tips don't be afraid to fail. I always tell my daughter's never not do something because you're afraid you might fail go for it. And remember that hard work discipline and perseverance can overcome a lot.",0.9104260206222534,5.0,5.2,know,1
